,CellID,cell_size,Hoechst1,A488,A555,A647,Hoechst2,anti_NaKATPase,anti_CD3,anti_CD45RO,Hoechst3,Ki67,Keratin,aSMA,Hoechst4,CD8a,CD4,CD45,Hoechst5,CD20,CD11c,PD1,Hoechst6,CD68,FOXP3,PDL1,Hoechst7,CD163,H3_PE,CD31,Hoechst8,Ecad,Vimentin,Catenin,Hoechst9,LaminAC,pH3,H2ax,x_centroid,y_centroid
358,359,122.0,11859.0,1911.827868852459,462.94262295081967,1126.795081967213,16475.352459016394,4686.360655737705,10110.22131147541,28822.475409836065,16616.122950819674,2965.122950819672,328.91803278688525,1450.860655737705,27560.622950819674,8507.606557377048,5751.254098360656,8640.237704918032,26981.844262295082,3248.254098360656,10930.442622950819,26087.155737704918,23607.639344262294,2279.4836065573772,539.7213114754098,2037.0819672131147,21742.06557377049,1104.049180327869,6810.7213114754095,1110.4344262295083,17909.303278688523,859.2868852459017,2298.2704918032787,1088.122950819672,25123.60655737705,1429.9344262295083,387.42622950819674,1021.655737704918,163.86065573770492,152.4262295081967
359,360,19.0,11614.578947368422,1963.6315789473683,473.4736842105263,1094.7368421052631,19066.315789473683,5479.8421052631575,7815.0526315789475,28631.157894736843,14683.684210526315,3792.2105263157896,346.2631578947368,1140.6842105263158,26665.526315789473,16898.105263157893,4872.8421052631575,4932.0,27771.473684210527,17030.052631578947,8545.0,33173.26315789474,22871.263157894737,1691.3157894736842,510.57894736842104,1453.1052631578948,21999.42105263158,1141.842105263158,10581.315789473685,1315.9473684210527,20148.105263157893,1041.7368421052631,778.4736842105264,1066.6315789473683,30455.57894736842,1506.9473684210527,389.89473684210526,1021.1052631578947,167.10526315789474,0.7894736842105263
360,361,66.0,16389.5,1888.2575757575758,436.969696969697,1009.6363636363636,24615.909090909092,3687.8636363636365,6693.80303030303,8020.560606060606,22950.757575757576,4356.560606060606,286.3787878787879,984.6818181818181,38840.969696969696,11525.80303030303,2172.4848484848485,4648.712121212121,37123.01515151515,7929.5,2188.878787878788,18577.590909090908,32366.166666666668,983.530303030303,513.1515151515151,1400.030303030303,29026.757575757576,1160.6363636363637,11082.863636363636,1231.9545454545455,23060.242424242424,904.3636363636364,678.2878787878788,1007.5454545454545,32568.68181818182,1476.378787878788,405.8484848484849,1047.7424242424242,163.06060606060606,163.34848484848484
361,362,95.0,17040.63157894737,1818.2631578947369,440.5263157894737,956.1263157894737,21728.736842105263,4296.284210526316,15196.136842105263,15093.873684210526,24977.23157894737,2718.357894736842,319.9157894736842,1265.3263157894737,43744.242105263154,3330.463157894737,8260.136842105263,4468.715789473684,43970.768421052635,4813.8,910.1157894736842,22735.147368421054,38382.54736842105,978.2947368421053,605.3263157894737,1396.3368421052633,37553.13684210526,1191.7263157894736,17388.57894736842,1446.0947368421052,32000.694736842106,895.6315789473684,726.0736842105263,1001.9578947368421,50617.54736842105,1771.7894736842106,430.30526315789473,1053.957894736842,168.16842105263157,24.126315789473683
362,363,211.0,9832.582938388625,1829.260663507109,457.58293838862556,1006.9241706161138,15432.099526066351,4339.1611374407585,4107.028436018957,4293.473933649289,13503.976303317535,25688.08530805687,281.5118483412322,1322.7535545023698,23522.6018957346,3114.3601895734596,3032.3175355450235,3711.6729857819905,23566.511848341233,12676.421800947868,7185.364928909953,12541.85308056872,20443.08530805687,2133.0758293838862,503.01895734597156,1548.3364928909953,20174.52132701422,1108.9715639810427,10440.218009478673,815.5165876777252,16878.0,903.914691943128,1357.654028436019,1088.8720379146919,26150.436018957345,1482.9763033175354,402.478672985782,1089.4123222748815,167.90521327014218,58.943127962085306
363,364,36.0,15554.638888888889,1861.861111111111,475.0,996.9722222222222,22217.972222222223,5802.527777777777,12761.916666666666,20879.416666666668,21457.472222222223,3448.8055555555557,337.22222222222223,1255.7777777777778,37450.694444444445,5550.25,6863.222222222223,6705.666666666667,37890.694444444445,3805.222222222222,1558.611111111111,31558.38888888889,32509.666666666668,969.4722222222222,517.25,1490.361111111111,33139.555555555555,1203.0,15709.138888888889,801.0277777777778,28032.36111111111,952.3888888888889,836.25,1038.75,42181.61111111111,1869.9166666666667,426.02777777777777,1104.3055555555557,165.63888888888889,41.27777777777778
364,365,70.0,17320.428571428572,1973.2428571428572,455.12857142857143,1016.5142857142857,26675.52857142857,4953.928571428572,6647.128571428571,21760.8,24008.371428571427,3292.2714285714287,317.2857142857143,1476.0142857142857,40991.77142857143,2430.5285714285715,5420.1,6686.785714285715,38991.31428571429,4488.914285714286,2580.6714285714284,21341.042857142857,34066.4,998.8857142857142,505.0,1545.5428571428572,30191.7,1175.8714285714286,10879.271428571428,627.4,24683.714285714286,934.4285714285714,1195.3285714285714,1366.0428571428572,36635.92857142857,1822.2571428571428,433.4142857142857,1067.0142857142857,165.34285714285716,93.27142857142857
365,366,117.0,11883.461538461539,1907.1025641025642,445.03418803418805,1033.3675213675215,18492.299145299145,4706.803418803419,4038.3162393162393,13492.239316239316,17064.581196581195,3991.042735042735,300.1965811965812,1286.2222222222222,29147.017094017094,2492.5213675213677,3604.4358974358975,4561.521367521367,28317.188034188035,7588.179487179487,3174.735042735043,13849.982905982906,25068.923076923078,961.008547008547,491.70940170940173,1488.5641025641025,22925.393162393164,1084.3418803418804,7476.0,671.4102564102565,18418.444444444445,966.4786324786324,1500.2478632478633,1630.1880341880342,26082.991452991453,4382.333333333333,416.1623931623932,1015.2478632478633,168.39316239316238,102.11965811965813
366,367,131.0,7193.717557251908,1914.793893129771,480.78625954198475,1085.8091603053435,10032.786259541985,5163.625954198474,6994.06106870229,15650.908396946565,9366.54961832061,3424.4656488549617,304.5038167938931,1346.5114503816794,15968.465648854963,2360.0152671755727,7188.801526717557,7516.381679389313,16453.458015267177,17122.114503816792,9838.152671755724,27045.30534351145,14365.748091603053,2268.8015267175574,529.0687022900763,1939.0763358778627,13822.595419847328,1071.8625954198474,4071.610687022901,879.3511450381679,11796.870229007634,1036.0992366412213,3253.9007633587785,1286.1374045801526,16399.946564885497,1402.7557251908397,395.6564885496183,1031.5190839694656,167.65648854961833,179.70229007633588
367,368,127.0,9809.094488188977,1787.8582677165355,459.3622047244094,974.7795275590552,14272.433070866142,4960.669291338582,6466.393700787402,14239.622047244095,13640.905511811023,3018.7086614173227,311.92913385826773,2009.9133858267717,22774.015748031496,2324.259842519685,5947.921259842519,5301.236220472441,22174.708661417324,8354.88188976378,7924.724409448819,14661.692913385827,19376.03149606299,2324.8897637795276,626.4173228346457,1961.992125984252,18063.6062992126,1059.0314960629921,5511.188976377953,758.4645669291339,14847.425196850394,808.1181102362204,4755.574803149606,1088.8031496062993,21796.32283464567,1427.755905511811,388.09448818897636,1047.5433070866143,167.0,192.83464566929135
