,CellID,cell_size,Hoechst1,A488,A555,A647,Hoechst2,anti_NaKATPase,anti_CD3,anti_CD45RO,Hoechst3,Ki67,Keratin,aSMA,Hoechst4,CD8a,CD4,CD45,Hoechst5,CD20,CD11c,PD1,Hoechst6,CD68,FOXP3,PDL1,Hoechst7,CD163,H3_PE,CD31,Hoechst8,Ecad,Vimentin,Catenin,Hoechst9,LaminAC,pH3,H2ax,x_centroid,y_centroid
148,149,74.0,16041.175675675675,1941.054054054054,464.5945945945946,974.5675675675676,23056.08108108108,4351.824324324324,6496.918918918919,7609.22972972973,22923.04054054054,9823.945945945947,285.35135135135135,1149.054054054054,39905.62162162162,2869.4594594594596,4914.189189189189,3659.9324324324325,39859.86486486487,1384.1756756756756,1643.2432432432433,17831.04054054054,35802.16216216216,942.0540540540541,698.4594594594595,1419.6216216216217,35503.41891891892,1186.3918918918919,18964.81081081081,668.2702702702703,30927.68918918919,1099.8513513513512,767.8378378378378,1519.1756756756756,49882.02702702703,1804.4594594594594,464.2837837837838,1131.8243243243244,99.55405405405405,117.08108108108108
149,150,70.0,13168.9,1984.0285714285715,461.77142857142854,1027.8285714285714,19877.97142857143,5497.342857142857,10545.9,9756.228571428572,17698.157142857144,3349.0,305.64285714285717,1084.8714285714286,31491.742857142857,9967.128571428571,7010.6,4034.3,31785.02857142857,1550.4,2883.4285714285716,27829.542857142857,28121.85714285714,958.5428571428571,527.0285714285715,1496.2428571428572,28380.27142857143,1164.9285714285713,14624.728571428572,1132.7142857142858,25367.32857142857,886.6571428571428,978.6,1070.5428571428572,41213.44285714286,1729.4142857142858,442.62857142857143,1157.6142857142856,99.24285714285715,127.37142857142857
150,151,183.0,13635.437158469946,1956.1147540983607,462.551912568306,1032.1311475409836,18891.748633879783,4110.016393442623,7975.710382513661,6913.349726775957,18550.185792349726,2994.44262295082,284.72677595628414,1427.6666666666667,33038.51366120219,7369.754098360656,4947.338797814207,3524.6721311475408,34266.94535519126,3592.3551912568305,7044.765027322404,21628.573770491803,30795.868852459018,4395.393442622951,528.0109289617486,1626.672131147541,32191.081967213115,1145.1967213114754,15860.508196721312,1691.672131147541,29595.56830601093,1220.775956284153,1268.3661202185792,1239.879781420765,48536.44262295082,2534.0601092896177,473.59016393442624,1238.4207650273224,100.28415300546447,178.88524590163934
151,152,101.0,12950.009900990099,1945.3861386138615,472.7227722772277,997.8910891089109,19257.237623762376,7152.3267326732675,9061.009900990099,20599.80198019802,17978.21782178218,3761.1485148514853,333.6930693069307,1473.970297029703,31943.019801980197,3066.940594059406,9313.39603960396,9426.178217821782,32880.81188118812,9739.554455445545,1161.6633663366338,22054.49504950495,27553.0,988.5445544554456,533.7029702970297,1576.1089108910892,29017.158415841583,1195.2673267326732,14855.475247524753,786.3069306930693,26284.663366336634,988.3465346534654,876.4851485148515,1204.3267326732673,42977.158415841586,1777.5940594059407,457.4257425742574,1109.8217821782177,100.57425742574257,6.336633663366337
152,153,155.0,14242.09677419355,1862.3032258064516,457.18064516129033,1003.0645161290323,20976.664516129033,3877.9483870967742,8261.63870967742,15005.587096774194,20107.516129032258,2711.516129032258,308.64516129032256,1631.4,36609.50322580645,3478.2709677419357,6774.606451612904,3231.883870967742,37397.08387096774,2279.1870967741934,6823.296774193548,21542.61935483871,31645.070967741936,1387.9612903225807,519.6451612903226,1525.1612903225807,32866.8064516129,1191.5225806451613,15175.554838709677,906.483870967742,29179.864516129033,1193.5096774193548,1323.9806451612903,1052.1806451612904,47716.180645161294,1933.6967741935484,458.7741935483871,1180.1548387096775,100.96129032258065,42.729032258064514
153,154,142.0,15860.654929577464,1915.7605633802816,466.0774647887324,997.1408450704225,22019.929577464787,5750.084507042254,9340.68309859155,9678.94366197183,21773.035211267605,3192.8098591549297,294.5281690140845,1937.4647887323943,38985.83802816901,10580.204225352112,5745.098591549296,4464.387323943662,39625.90140845071,2673.669014084507,1882.0070422535211,23578.359154929578,35357.99295774648,948.9788732394367,1911.3098591549297,1461.9929577464789,35812.04929577465,1175.0985915492959,18492.478873239437,1904.6338028169014,31777.922535211266,1107.2676056338028,943.5211267605633,1132.5422535211267,52024.873239436616,2237.323943661972,483.2323943661972,1177.9014084507041,103.47183098591549,157.82394366197184
154,155,107.0,17101.831775700935,1906.3177570093458,467.32710280373834,1025.2616822429907,24114.616822429907,4666.112149532711,8648.766355140187,5831.476635514019,23651.439252336448,2875.7196261682243,296.69158878504675,1883.8504672897195,41640.785046728975,11459.794392523365,4524.738317757009,3094.1495327102803,41641.3738317757,1681.7757009345794,4261.457943925234,23571.046728971964,37174.02803738318,1589.3457943925234,546.7757009345794,1513.1869158878505,37032.43925233645,1173.3364485981308,16251.663551401869,1366.5981308411215,32446.495327102803,1052.6448598130842,1264.2242990654206,1193.392523364486,51901.13084112149,1834.233644859813,461.2616822429907,1126.1495327102805,105.08411214953271,137.02803738317758
155,156,130.0,15832.523076923077,1895.4307692307693,459.9307692307692,1003.0076923076923,22044.96153846154,4151.246153846154,7785.8,4075.5384615384614,21815.69230769231,3043.4846153846156,282.4230769230769,1257.9692307692308,38325.64615384615,5248.776923076923,5037.484615384616,3127.576923076923,38938.53076923077,4434.815384615385,6092.669230769231,20794.653846153848,34934.5,2220.6769230769232,1080.1384615384616,1533.0076923076922,35209.20769230769,1143.8615384615384,17491.123076923075,1202.6846153846154,32259.984615384616,1119.4615384615386,1502.3923076923077,1160.0153846153846,50233.18461538461,2171.5384615384614,475.8076923076923,1139.0,105.26153846153846,191.13846153846154
156,157,84.0,11176.309523809523,1982.845238095238,1790.0,1160.357142857143,17333.916666666668,7183.547619047619,9449.452380952382,25928.130952380954,15131.666666666666,4974.583333333333,336.9047619047619,1489.0833333333333,26919.89285714286,3135.7261904761904,9393.857142857143,9723.964285714286,27438.059523809523,2237.154761904762,6868.416666666667,27543.14285714286,23647.39285714286,3114.095238095238,516.6666666666666,1740.892857142857,23323.559523809523,1136.1904761904761,13098.059523809523,1160.4761904761904,21815.440476190477,989.6071428571429,1796.047619047619,1656.357142857143,36859.369047619046,1649.9761904761904,436.14285714285717,1155.642857142857,107.38095238095238,90.26190476190476
157,158,65.0,16626.53846153846,1954.4153846153847,451.0,997.0461538461539,21847.96923076923,3764.5384615384614,7301.261538461538,6574.0,23671.492307692308,2616.0923076923077,293.0615384615385,991.6461538461539,42856.81538461539,2704.2923076923075,5666.969230769231,3374.3076923076924,43880.876923076925,1335.8461538461538,5530.876923076923,16699.846153846152,37293.63076923077,975.6461538461539,525.5538461538462,1434.676923076923,40231.89230769231,1246.8153846153846,19585.615384615383,978.4769230769231,35429.846153846156,1463.0615384615385,849.1846153846154,990.4,57648.307692307695,2017.246153846154,470.8615384615385,1155.0153846153846,107.96923076923076,24.8
