,CellID,cell_size,Hoechst1,A488,A555,A647,Hoechst2,anti_NaKATPase,anti_CD3,anti_CD45RO,Hoechst3,Ki67,Keratin,aSMA,Hoechst4,CD8a,CD4,CD45,Hoechst5,CD20,CD11c,PD1,Hoechst6,CD68,FOXP3,PDL1,Hoechst7,CD163,H3_PE,CD31,Hoechst8,Ecad,Vimentin,Catenin,Hoechst9,LaminAC,pH3,H2ax,x_centroid,y_centroid
0,1,36.0,11103.444444444445,2183.9444444444443,462.3888888888889,1283.9722222222222,14475.0,6234.888888888889,9010.322222222221,14253.055555555555,13708.25,3112.1111111111113,307.94444444444446,903.4166666666666,26403.194444444445,14101.06049382716,11927.744444444445,6781.277777777777,28522.305555555555,1516.1320987654321,4975.972222222223,23918.722222222223,23705.75,930.6999999999999,520.6388888888889,2857.222222222222,25067.277777777777,1095.0864197530864,11781.388888888889,1743.75,24449.63888888889,1037.6944444444443,873.8611111111111,1188.2777777777778,43411.833333333336,1920.5833333333333,513.9166666666666,1083.6666666666667,2.611111111111111,2.1944444444444446
1,2,37.0,15144.513513513513,2059.9189189189187,472.2162162162162,1051.2162162162163,20312.0,4240.540540540541,5324.810810810811,20632.135135135137,20968.0,2638.2162162162163,305.97297297297297,1202.4864864864865,38718.37837837838,1923.5075075075076,4393.864864864865,5876.27027027027,39349.13513513513,1663.7717717717717,7223.378378378378,18433.18918918919,33091.40540540541,1956.4054054054054,523.918918918919,2099.0810810810813,35412.72972972973,1293.7867867867867,17392.54054054054,1404.7297297297298,31366.37837837838,1148.7297297297298,952.0,1003.8648648648649,51581.94594594595,3320.3783783783783,840.7297297297297,1218.0,1.5945945945945945,13.027027027027026
2,3,65.0,14102.461538461539,2042.1692307692308,468.55384615384617,1133.446153846154,20087.292307692307,3937.5692307692307,9932.930769230768,5309.030769230769,19234.184615384616,2659.846153846154,293.12307692307695,1026.4769230769232,34819.50769230769,4034.226153846154,9241.32153846154,3339.2615384615383,35940.63076923077,13641.129230769231,1530.3384615384616,26424.69230769231,30076.89230769231,1292.4184615384615,516.1846153846154,1484.9846153846154,31331.953846153847,1266.9938461538463,14569.8,1549.6615384615384,28590.415384615386,1189.1538461538462,1305.676923076923,1069.6153846153845,46990.92307692308,2053.9076923076923,455.4923076923077,1150.7846153846153,2.6,30.784615384615385
3,4,36.0,15924.194444444445,1992.2222222222222,466.52777777777777,1121.1666666666667,21729.916666666668,4396.5,6628.894444444445,10823.138888888889,21992.86111111111,2734.6666666666665,279.0,1119.4444444444443,40195.36111111111,4234.866666666666,6078.516666666666,4148.916666666667,41249.416666666664,0.0,1976.861111111111,21032.88888888889,35025.63888888889,578.2722222222222,504.97222222222223,1650.4166666666667,36211.27777777778,887.9888888888888,15650.277777777777,1038.4166666666667,32263.36111111111,1344.638888888889,779.8888888888889,1080.75,50973.555555555555,1918.5,458.3888888888889,1149.6944444444443,1.5555555555555556,40.861111111111114
4,5,71.0,15966.12676056338,1951.605633802817,457.5211267605634,987.5492957746479,22803.323943661973,3831.6338028169016,7857.573708920187,7816.901408450704,22018.211267605635,2640.676056338028,290.15492957746477,1100.394366197183,39945.57746478873,2939.426291079812,6864.127699530516,3775.478873239437,40030.718309859156,922.950234741784,3666.3802816901407,22081.929577464787,33115.50704225352,700.3220657276995,555.0281690140845,1535.7605633802816,31923.028169014084,1123.1718309859154,11417.422535211268,894.5492957746479,28625.436619718308,910.5352112676056,762.1971830985915,1038.887323943662,46672.704225352114,1863.619718309859,439.8169014084507,1054.0140845070423,2.3380281690140845,65.74647887323944
5,6,154.0,13894.25974025974,2112.8376623376626,477.9220779220779,1093.1883116883116,20359.051948051947,6041.954545454545,8389.818722943723,8761.441558441558,18969.5,3882.805194805195,296.8376623376623,1277.1948051948052,33832.05844155844,13951.611742424244,5752.4066558441555,4743.38961038961,34135.53896103896,2476.657196969697,4593.88961038961,21816.435064935064,28413.194805194806,2221.7608225108224,602.6363636363636,1712.4155844155844,27209.954545454544,1065.8371212121212,9224.538961038961,1268.655844155844,24184.383116883117,1021.1558441558442,802.538961038961,1080.1298701298701,41519.52597402597,1836.5389610389611,449.76623376623377,1095.8636363636363,3.2857142857142856,85.51298701298701
6,7,55.0,9449.018181818183,1932.1090909090908,495.03636363636366,1008.7272727272727,14739.981818181817,5500.636363636364,5650.928787878787,8365.254545454545,12055.218181818182,3320.9454545454546,301.1090909090909,1312.8,22287.2,1253.8401515151518,7347.434090909091,3220.018181818182,23427.090909090908,3343.6833333333334,6405.290909090909,17500.6,19756.21818181818,2244.021212121212,500.0,1586.090909090909,19649.036363636365,1062.8871212121212,10976.545454545454,1729.7636363636364,17944.545454545456,1035.5636363636363,1554.3454545454545,1509.3090909090909,30152.272727272728,1859.8909090909092,451.54545454545456,1144.1090909090908,1.9636363636363636,108.01818181818182
7,8,76.0,15861.53947368421,1960.4868421052631,464.1842105263158,1083.7105263157894,23400.42105263158,6692.1973684210525,14133.993421052632,16105.78947368421,21379.394736842107,5390.013157894737,318.9605263157895,1877.1052631578948,39324.02631578947,5553.858114035088,10617.718640350877,3769.157894736842,40944.61842105263,873.0899122807017,2643.1315789473683,32248.684210526317,35140.36842105263,750.4350877192983,652.1052631578947,1570.1447368421052,36232.86842105263,1137.6673245614033,17441.223684210527,2100.565789473684,34156.11842105263,1152.3157894736842,1046.3947368421052,1051.2763157894738,55828.26315789474,2216.5789473684213,514.2894736842105,1233.828947368421,2.9210526315789473,129.3421052631579
8,9,54.0,16524.74074074074,1881.6666666666667,447.3703703703704,973.7962962962963,22134.87037037037,3738.4814814814813,7596.790123456791,5923.407407407408,22925.14814814815,2750.814814814815,280.3703703703704,1052.388888888889,41421.92592592593,0.0,4946.864197530865,3479.814814814815,42473.74074074074,3065.457671957672,1180.9074074074074,20779.40740740741,36956.90740740741,759.5881834215169,545.4814814814815,1417.1851851851852,39317.18518518518,1006.1340388007054,20748.944444444445,1022.0555555555555,36818.07407407407,1311.037037037037,732.074074074074,1020.4074074074074,59359.90740740741,2342.6111111111113,464.1666666666667,1232.2592592592594,1.7777777777777777,159.90740740740742
9,10,50.0,12923.4,1933.68,455.96,1070.8,19009.58,4827.36,9852.728888888889,25934.44,16922.66,6587.26,336.6,1545.12,30899.1,2117.4355555555558,8603.737777777778,9487.38,32497.66,4808.133650793651,1016.36,27034.96,28164.22,780.111746031746,529.02,1591.42,29762.64,993.7526984126984,18421.94,1083.82,28359.98,923.1,965.26,983.42,47903.06,1991.98,491.04,1198.24,2.02,175.26
